Date,Drug1,Drug2,Drug3,Drug4,Drug5,Drug6,Drug7,Drug8,Drug1_Sales,Drug2_Sales,Drug3_Sales,Drug4_Sales,Drug5_Sales,Drug6_Sales,Drug7_Sales,Drug8_Sales
2019-09-01,2.0,4.36,5.0,17.0,8.2,1.0,5.0,4.0,2000.0,3488.0000000000005,7500.0,10200.0,4510.0,10000.0,2250.0,3600.0
2019-09-02,5.33,2.087,2.5,18.0,7.0,0.0,1.0,9.0,5330.0,1669.6000000000001,3750.0,10800.0,3850.0,0.0,450.0,8100.0
2019-09-03,9.36,2.35,3.1,12.125,8.0,3.0,1.0,2.0,9360.0,1880.0,4650.0,7275.0,4400.0,30000.0,450.0,1800.0
2019-09-04,2.0,0.373,2.15,29.23,7.0,0.0,3.0,3.0,2000.0,298.4,3225.0,17538.0,3850.0,0.0,1350.0,2700.0
2019-09-05,7.0,9.53,2.0,14.0,1.0,0.0,1.0,8.0,7000.0,7623.999999999999,3000.0,8400.0,550.0,0.0,450.0,7200.0
2019-09-06,1.68,2.67,1.0,28.4,7.0,0.0,0.0,1.5,1680.0,2136.0,1500.0,17040.0,3850.0,0.0,0.0,1350.0
2019-09-07,8.33,3.67,2.0,27.0,14.0,3.0,6.0,2.0,8330.0,2936.0,3000.0,16200.0,7700.0,30000.0,2700.0,1800.0
2019-09-08,7.01,6.087,3.0,26.0,7.0,0.0,3.0,3.0,7010.0,4869.599999999999,4500.0,15600.0,3850.0,0.0,1350.0,2700.0
2019-09-09,1.18,2.124,3.0,26.0,4.0,3.0,5.0,2.0,1180.0,1699.2,4500.0,15600.0,2200.0,30000.0,2250.0,1800.0
2019-09-10,8.66,6.68,4.2,22.0,17.0,0.0,1.0,1.0,8660.0,5344.0,6300.0,13200.0,9350.0,0.0,450.0,900.0
2019-09-11,2.67,5.076,3.0,42.0,5.0,0.0,5.0,2.5,2670.0,4060.7999999999997,4500.0,25200.0,2750.0,0.0,2250.0,2250.0
2019-09-12,2.33,1.34,2.0,21.975,11.2,0.0,10.0,4.0,2330.0,1072.0,3000.0,13185.0,6160.0,0.0,4500.0,3600.0
2019-09-13,6.34,3.35,2.0,17.0,12.0,2.0,5.0,5.0,6340.0,2680.0,3000.0,10200.0,6600.0,20000.0,2250.0,4500.0
2019-09-14,8.99,6.397,3.45,24.0,12.0,0.0,2.0,10.0,8990.0,5117.6,5175.0,14400.0,6600.0,0.0,900.0,9000.0
2019-09-15,5.34,6.01,2.0,25.4,6.0,0.0,2.0,6.0,5340.0,4808.0,3000.0,15240.0,3300.0,0.0,900.0,5400.0
2019-09-16,9.33,2.316,3.0,22.0,5.0,1.0,0.0,2.0,9330.0,1852.8,4500.0,13200.0,2750.0,10000.0,0.0,1800.0
2019-09-17,4.5,3.007,6.5,19.2,8.2,0.0,6.0,2.0,4500.0,2405.6,9750.0,11520.0,4510.0,0.0,2700.0,1800.0
2019-09-18,6.33,4.33,7.0,22.0,4.0,0.0,2.0,2.0,6330.0,3464.0,10500.0,13200.0,2200.0,0.0,900.0,1800.0
2019-09-19,7.33,3.34,3.0,33.0,5.0,2.0,3.0,4.0,7330.0,2672.0,4500.0,19800.0,2750.0,20000.0,1350.0,3600.0
2019-09-20,5.34,3.383,2.0,51.3,3.0,0.0,1.0,3.0,5340.0,2706.4,3000.0,30780.0,1650.0,0.0,450.0,2700.0
2019-09-21,10.68,5.68,1.0,44.25,3.0,0.0,6.0,4.0,10680.0,4544.0,1500.0,26550.0,1650.0,0.0,2700.0,3600.0
2019-09-22,3.33,3.34,1.9,56.5,3.0,0.0,8.0,4.0,3330.0,2672.0,2850.0,33900.0,1650.0,0.0,3600.0,3600.0
2019-09-23,5.34,4.549,3.3,55.0,6.0,0.0,1.0,4.0,5340.0,3639.2000000000003,4950.0,33000.0,3300.0,0.0,450.0,3600.0
2019-09-24,2.0,1.34,6.0,61.3,12.0,0.0,1.0,6.0,2000.0,1072.0,9000.0,36780.0,6600.0,0.0,450.0,5400.0
2019-09-25,6.0,3.67,4.2,32.5,14.0,1.0,1.416666667,4.0,6000.0,2936.0,6300.0,19500.0,7700.0,10000.0,637.50000015,3600.0
2019-09-26,5.5,3.033,2.0,31.0,13.0,0.0,31.0,0.0,5500.0,2426.4,3000.0,18600.0,7150.0,0.0,13950.0,0.0
2019-09-27,4.66,4.359,4.0,41.1,4.0,0.0,2.0,4.0,4660.0,3487.2,6000.0,24660.0,2200.0,0.0,900.0,3600.0
2019-09-28,7.0,1.68,4.1,48.0,6.2,0.0,1.0,3.0,7000.0,1344.0,6149.999999999999,28800.0,3410.0,0.0,450.0,2700.0
2019-09-29,3.51,3.867,3.0,67.8,6.0,0.0,3.0,2.1,3510.0,3093.6,4500.0,40680.0,3300.0,0.0,1350.0,1890.0
2019-09-30,2.0,1.439,2.1,49.4,9.0,0.0,5.0,2.0,2000.0,1151.2,3150.0,29640.0,4950.0,0.0,2250.0,1800.0
